Three-Digit ZIP Code,Year,Quarter,Index (NSA),Index Type
023,2023,3,431.86,Native 3-Digit ZIP index
023,2023,4,432.74,Native 3-Digit ZIP index
024,2023,1,434.98,Native 3-Digit ZIP index
024,2023,2,440.38,Native 3-Digit ZIP index
024,2023,3,443.45,Native 3-Digit ZIP index
024,2023,4,453,Native 3-Digit ZIP index
025,2023,1,472.45,Native 3-Digit ZIP index
025,2023,2,485.19,Native 3-Digit ZIP index
025,2023,3,501.86,Native 3-Digit ZIP index
025,2023,4,524.54,Native 3-Digit ZIP index
026,2023,1,510.3,Native 3-Digit ZIP index
026,2023,2,519.5,Native 3-Digit ZIP index
026,2023,3,520.93,Native 3-Digit ZIP index
026,2023,4,520.59,Native 3-Digit ZIP index
027,2023,1,365.22,Native 3-Digit ZIP index
027,2023,2,380.81,Native 3-Digit ZIP index
027,2023,3,391.6,Native 3-Digit ZIP index
027,2023,4,391.62,Native 3-Digit ZIP index
028,2023,1,362.83,Native 3-Digit ZIP index
028,2023,2,380.18,Native 3-Digit ZIP index
028,2023,3,388.97,Native 3-Digit ZIP index
028,2023,4,394.68,Native 3-Digit ZIP index
029,2023,1,352.32,Native 3-Digit ZIP index
029,2023,2,364.57,Native 3-Digit ZIP index
029,2023,3,386.28,Native 3-Digit ZIP index
029,2023,4,381.92,Native 3-Digit ZIP index
030,2023,1,399.18,Native 3-Digit ZIP index
030,2023,2,415.56,Native 3-Digit ZIP index
030,2023,3,426.53,Native 3-Digit ZIP index
030,2023,4,419.84,Native 3-Digit ZIP index
031,2023,1,398.95,Native 3-Digit ZIP index
031,2023,2,412.18,Native 3-Digit ZIP index
031,2023,3,431.86,Native 3-Digit ZIP index
031,2023,4,417.93,Native 3-Digit ZIP index
032,2023,1,407.73,Native 3-Digit ZIP index
032,2023,2,435.15,Native 3-Digit ZIP index
032,2023,3,455.48,Native 3-Digit ZIP index
032,2023,4,456.61,Native 3-Digit ZIP index
033,2023,1,378.32,Native 3-Digit ZIP index
033,2023,2,385.63,Native 3-Digit ZIP index
033,2023,3,407.94,Native 3-Digit ZIP index
033,2023,4,404.46,Native 3-Digit ZIP index
034,2023,1,324.91,Native 3-Digit ZIP index
034,2023,2,336.76,Native 3-Digit ZIP index
034,2023,3,335.61,Native 3-Digit ZIP index
034,2023,4,342.42,Native 3-Digit ZIP index
035,2023,1,388.63,Balance of State
035,2023,2,403.32,Balance of State
035,2023,3,413,Balance of State
035,2023,4,419,Balance of State
036,2023,1,388.63,Balance of State
036,2023,2,403.32,Balance of State
036,2023,3,413,Balance of State
036,2023,4,419,Balance of State
037,2023,1,388.63,Balance of State
037,2023,2,403.32,Balance of State
037,2023,3,413,Balance of State
037,2023,4,419,Balance of State
038,2023,1,422.09,Native 3-Digit ZIP index
038,2023,2,443.37,Native 3-Digit ZIP index
038,2023,3,450.28,Native 3-Digit ZIP index
038,2023,4,449.89,Native 3-Digit ZIP index
039,2023,1,433.19,Native 3-Digit ZIP index
039,2023,2,477.89,Native 3-Digit ZIP index
039,2023,3,476.95,Native 3-Digit ZIP index
039,2023,4,471.91,Native 3-Digit ZIP index
040,2023,1,400.6,Native 3-Digit ZIP index
040,2023,2,414.32,Native 3-Digit ZIP index
040,2023,3,437.33,Native 3-Digit ZIP index
040,2023,4,433.88,Native 3-Digit ZIP index
041,2023,1,489.23,Native 3-Digit ZIP index
041,2023,2,529.92,Native 3-Digit ZIP index
041,2023,3,535.32,Native 3-Digit ZIP index
041,2023,4,504.9,Native 3-Digit ZIP index
042,2023,1,329.72,Native 3-Digit ZIP index
042,2023,2,356.65,Native 3-Digit ZIP index
042,2023,3,363.81,Native 3-Digit ZIP index
042,2023,4,350.63,Native 3-Digit ZIP index
043,2023,1,326.31,Balance of State
043,2023,2,349.96,Balance of State
043,2023,3,352.84,Balance of State
043,2023,4,348.21,Balance of State
044,2023,1,314.14,Native 3-Digit ZIP index
044,2023,2,336.61,Native 3-Digit ZIP index
044,2023,3,345.72,Native 3-Digit ZIP index
044,2023,4,317.73,Native 3-Digit ZIP index
045,2023,1,326.31,Balance of State
045,2023,2,349.96,Balance of State
045,2023,3,352.84,Balance of State
045,2023,4,348.21,Balance of State
046,2023,1,326.31,Balance of State
046,2023,2,349.96,Balance of State
046,2023,3,352.84,Balance of State
046,2023,4,348.21,Balance of State
047,2023,1,326.31,Balance of State
047,2023,2,349.96,Balance of State
047,2023,3,352.84,Balance of State
047,2023,4,348.21,Balance of State
048,2023,1,326.31,Balance of State
048,2023,2,349.96,Balance of State
048,2023,3,352.84,Balance of State
048,2023,4,348.21,Balance of State
049,2023,1,326.31,Balance of State
049,2023,2,349.96,Balance of State
049,2023,3,352.84,Balance of State
049,2023,4,348.21,Balance of State
050,2023,1,317.54,Balance of State
050,2023,2,341.35,Balance of State
050,2023,3,351.2,Balance of State
050,2023,4,349.75,Balance of State
051,2023,1,317.54,Balance of State
051,2023,2,341.35,Balance of State
051,2023,3,351.2,Balance of State
051,2023,4,349.75,Balance of State
052,2023,1,317.54,Balance of State
052,2023,2,341.35,Balance of State
052,2023,3,351.2,Balance of State
052,2023,4,349.75,Balance of State
053,2023,1,317.54,Balance of State
053,2023,2,341.35,Balance of State
053,2023,3,351.2,Balance of State
053,2023,4,349.75,Balance of State
054,2023,1,359.74,Native 3-Digit ZIP index
054,2023,2,373.73,Native 3-Digit ZIP index
054,2023,3,388.94,Native 3-Digit ZIP index
054,2023,4,375.91,Native 3-Digit ZIP index
056,2023,1,346.24,Native 3-Digit ZIP index
056,2023,2,363.87,Native 3-Digit ZIP index
056,2023,3,385.19,Native 3-Digit ZIP index
056,2023,4,382.17,Native 3-Digit ZIP index
057,2023,1,317.54,Balance of State
057,2023,2,341.35,Balance of State
057,2023,3,351.2,Balance of State
057,2023,4,349.75,Balance of State
058,2023,1,317.54,Balance of State
058,2023,2,341.35,Balance of State
058,2023,3,351.2,Balance of State
058,2023,4,349.75,Balance of State
059,2023,1,317.54,Balance of State
059,2023,2,341.35,Balance of State
059,2023,3,351.2,Balance of State
059,2023,4,349.75,Balance of State
060,2023,1,236.87,Native 3-Digit ZIP index
060,2023,2,251.54,Native 3-Digit ZIP index
060,2023,3,256.41,Native 3-Digit ZIP index
060,2023,4,258.27,Native 3-Digit ZIP index
061,2023,1,263.92,Native 3-Digit ZIP index
061,2023,2,281.85,Native 3-Digit ZIP index
061,2023,3,289.72,Native 3-Digit ZIP index
061,2023,4,278.67,Native 3-Digit ZIP index
062,2023,1,258.73,Native 3-Digit ZIP index
062,2023,2,259.55,Native 3-Digit ZIP index
062,2023,3,269.77,Native 3-Digit ZIP index
062,2023,4,281.62,Native 3-Digit ZIP index
063,2023,1,292.75,Native 3-Digit ZIP index
063,2023,2,302.19,Native 3-Digit ZIP index
063,2023,3,311.08,Native 3-Digit ZIP index
063,2023,4,311.93,Native 3-Digit ZIP index
064,2023,1,257.14,Native 3-Digit ZIP index
064,2023,2,274.64,Native 3-Digit ZIP index
064,2023,3,279.83,Native 3-Digit ZIP index
064,2023,4,282.69,Native 3-Digit ZIP index
065,2023,1,279.41,Native 3-Digit ZIP index
065,2023,2,293.75,Native 3-Digit ZIP index
065,2023,3,295.84,Native 3-Digit ZIP index
065,2023,4,303.01,Native 3-Digit ZIP index
066,2023,1,298.77,Native 3-Digit ZIP index
066,2023,2,307.56,Native 3-Digit ZIP index
066,2023,3,331.55,Native 3-Digit ZIP index
066,2023,4,343.13,Native 3-Digit ZIP index
067,2023,1,253.17,Native 3-Digit ZIP index
067,2023,2,264.71,Native 3-Digit ZIP index
067,2023,3,267.45,Native 3-Digit ZIP index
067,2023,4,275.8,Native 3-Digit ZIP index
068,2023,1,278.35,Native 3-Digit ZIP index
068,2023,2,296.75,Native 3-Digit ZIP index
068,2023,3,300.02,Native 3-Digit ZIP index
068,2023,4,313.39,Native 3-Digit ZIP index
069,2023,1,276.81,Native 3-Digit ZIP index
069,2023,2,294.44,Native 3-Digit ZIP index
069,2023,3,304.32,Native 3-Digit ZIP index
069,2023,4,286.93,Native 3-Digit ZIP index
070,2023,1,344.66,Native 3-Digit ZIP index
070,2023,2,363.04,Native 3-Digit ZIP index
070,2023,3,371.54,Native 3-Digit ZIP index
070,2023,4,375.08,Native 3-Digit ZIP index
071,2023,1,351.14,Native 3-Digit ZIP index
071,2023,2,361.43,Native 3-Digit ZIP index
071,2023,3,379.25,Native 3-Digit ZIP index
071,2023,4,400.8,Native 3-Digit ZIP index
072,2023,1,315.5,MSA/MSAD Index
072,2023,2,329.36,MSA/MSAD Index
072,2023,3,339.03,MSA/MSAD Index
072,2023,4,342.15,MSA/MSAD Index
073,2023,1,361.24,MSA/MSAD Index
073,2023,2,371.97,MSA/MSAD Index
073,2023,3,379.34,MSA/MSAD Index
073,2023,4,385.15,MSA/MSAD Index
074,2023,1,286.34,Native 3-Digit ZIP index
074,2023,2,298.7,Native 3-Digit ZIP index
074,2023,3,311.57,Native 3-Digit ZIP index
074,2023,4,319.32,Native 3-Digit ZIP index
075,2023,1,361.24,MSA/MSAD Index
075,2023,2,371.97,MSA/MSAD Index
075,2023,3,379.34,MSA/MSAD Index
075,2023,4,385.15,MSA/MSAD Index
076,2023,1,320.2,Native 3-Digit ZIP index
076,2023,2,339.69,Native 3-Digit ZIP index
076,2023,3,340.82,Native 3-Digit ZIP index
076,2023,4,351.46,Native 3-Digit ZIP index
077,2023,1,373.58,Native 3-Digit ZIP index
077,2023,2,392.86,Native 3-Digit ZIP index
077,2023,3,403.62,Native 3-Digit ZIP index
077,2023,4,407.19,Native 3-Digit ZIP index
078,2023,1,278.88,Native 3-Digit ZIP index
078,2023,2,283.11,Native 3-Digit ZIP index
078,2023,3,296.41,Native 3-Digit ZIP index
078,2023,4,300.22,Native 3-Digit ZIP index
079,2023,1,305.18,Native 3-Digit ZIP index
079,2023,2,325.38,Native 3-Digit ZIP index
079,2023,3,326.5,Native 3-Digit ZIP index
079,2023,4,327.84,Native 3-Digit ZIP index
080,2023,1,301.31,Native 3-Digit ZIP index
080,2023,2,315.47,Native 3-Digit ZIP index
080,2023,3,326.1,Native 3-Digit ZIP index
080,2023,4,330.06,Native 3-Digit ZIP index
081,2023,1,349.18,Native 3-Digit ZIP index
081,2023,2,349.63,Native 3-Digit ZIP index
081,2023,3,382.42,Native 3-Digit ZIP index
081,2023,4,380.37,Native 3-Digit ZIP index
082,2023,1,382.66,Native 3-Digit ZIP index
082,2023,2,384.28,Native 3-Digit ZIP index
082,2023,3,397.78,Native 3-Digit ZIP index
082,2023,4,410.98,Native 3-Digit ZIP index
083,2023,1,261.97,Native 3-Digit ZIP index
083,2023,2,289.23,Native 3-Digit ZIP index
083,2023,3,291.91,Native 3-Digit ZIP index
083,2023,4,295.46,Native 3-Digit ZIP index
084,2023,1,325.33,MSA/MSAD Index
084,2023,2,345.31,MSA/MSAD Index
084,2023,3,356.07,MSA/MSAD Index
084,2023,4,360.67,MSA/MSAD Index
085,2023,1,325.51,Native 3-Digit ZIP index
085,2023,2,336.29,Native 3-Digit ZIP index
085,2023,3,339.83,Native 3-Digit ZIP index
085,2023,4,346.76,Native 3-Digit ZIP index
086,2023,1,280.97,Native 3-Digit ZIP index
086,2023,2,296.26,Native 3-Digit ZIP index
086,2023,3,312.78,Native 3-Digit ZIP index
086,2023,4,311.77,Native 3-Digit ZIP index
087,2023,1,420.3,Native 3-Digit ZIP index
087,2023,2,433.83,Native 3-Digit ZIP index
087,2023,3,445.87,Native 3-Digit ZIP index
087,2023,4,456.36,Native 3-Digit ZIP index
088,2023,1,296.08,Native 3-Digit ZIP index
088,2023,2,313.73,Native 3-Digit ZIP index
088,2023,3,325.89,Native 3-Digit ZIP index
088,2023,4,330.65,Native 3-Digit ZIP index
089,2023,1,358.47,MSA/MSAD Index
089,2023,2,375.42,MSA/MSAD Index
089,2023,3,384.99,MSA/MSAD Index
089,2023,4,390.52,MSA/MSAD Index
100,2023,1,361.24,MSA/MSAD Index
100,2023,2,371.97,MSA/MSAD Index
100,2023,3,379.34,MSA/MSAD Index
100,2023,4,385.15,MSA/MSAD Index
101,2023,1,361.24,MSA/MSAD Index
101,2023,2,371.97,MSA/MSAD Index
101,2023,3,379.34,MSA/MSAD Index
101,2023,4,385.15,MSA/MSAD Index
103,2023,1,396.65,Native 3-Digit ZIP index
103,2023,2,406.51,Native 3-Digit ZIP index
103,2023,3,412.13,Native 3-Digit ZIP index
103,2023,4,426.2,Native 3-Digit ZIP index
104,2023,1,377.24,Native 3-Digit ZIP index
104,2023,2,386.42,Native 3-Digit ZIP index
104,2023,3,406.07,Native 3-Digit ZIP index
104,2023,4,415.09,Native 3-Digit ZIP index
105,2023,1,301.26,Native 3-Digit ZIP index
105,2023,2,306.59,Native 3-Digit ZIP index
105,2023,3,321.4,Native 3-Digit ZIP index
105,2023,4,315.4,Native 3-Digit ZIP index
106,2023,1,361.24,MSA/MSAD Index
106,2023,2,371.97,MSA/MSAD Index
106,2023,3,379.34,MSA/MSAD Index
106,2023,4,385.15,MSA/MSAD Index
107,2023,1,336.86,Native 3-Digit ZIP index
107,2023,2,353.16,Native 3-Digit ZIP index
107,2023,3,355.64,Native 3-Digit ZIP index
107,2023,4,355.01,Native 3-Digit ZIP index
108,2023,1,361.24,MSA/MSAD Index
108,2023,2,371.97,MSA/MSAD Index
108,2023,3,379.34,MSA/MSAD Index
108,2023,4,385.15,MSA/MSAD Index
109,2023,1,334.88,Native 3-Digit ZIP index
109,2023,2,337.3,Native 3-Digit ZIP index
109,2023,3,342.93,Native 3-Digit ZIP index
109,2023,4,357.19,Native 3-Digit ZIP index
110,2023,1,394.73,Native 3-Digit ZIP index
110,2023,2,391.37,Native 3-Digit ZIP index
110,2023,3,412.27,Native 3-Digit ZIP index
110,2023,4,418.46,Native 3-Digit ZIP index
111,2023,1,361.24,MSA/MSAD Index
111,2023,2,371.97,MSA/MSAD Index
111,2023,3,379.34,MSA/MSAD Index
111,2023,4,385.15,MSA/MSAD Index
112,2023,1,513.54,Native 3-Digit ZIP index
112,2023,2,503.2,Native 3-Digit ZIP index
112,2023,3,514.74,Native 3-Digit ZIP index
112,2023,4,491.8,Native 3-Digit ZIP index
113,2023,1,472.15,Native 3-Digit ZIP index
113,2023,2,474.11,Native 3-Digit ZIP index
113,2023,3,483.01,Native 3-Digit ZIP index
113,2023,4,476.97,Native 3-Digit ZIP index
114,2023,1,468.95,Native 3-Digit ZIP index
114,2023,2,477.05,Native 3-Digit ZIP index
114,2023,3,475.14,Native 3-Digit ZIP index
114,2023,4,472.11,Native 3-Digit ZIP index
115,2023,1,393.69,Native 3-Digit ZIP index
115,2023,2,403.39,Native 3-Digit ZIP index
115,2023,3,402.7,Native 3-Digit ZIP index
115,2023,4,410.45,Native 3-Digit ZIP index
116,2023,1,361.24,MSA/MSAD Index
116,2023,2,371.97,MSA/MSAD Index
116,2023,3,379.34,MSA/MSAD Index
116,2023,4,385.15,MSA/MSAD Index
117,2023,1,398.32,Native 3-Digit ZIP index
117,2023,2,409.6,Native 3-Digit ZIP index
117,2023,3,424.57,Native 3-Digit ZIP index
117,2023,4,426.96,Native 3-Digit ZIP index
118,2023,1,419.91,Native 3-Digit ZIP index
118,2023,2,426.55,Native 3-Digit ZIP index
118,2023,3,431.61,Native 3-Digit ZIP index
118,2023,4,441.09,Native 3-Digit ZIP index
119,2023,1,508.99,Native 3-Digit ZIP index
119,2023,2,516.79,Native 3-Digit ZIP index
119,2023,3,525.11,Native 3-Digit ZIP index
119,2023,4,540.18,Native 3-Digit ZIP index
120,2023,1,282.84,Native 3-Digit ZIP index
120,2023,2,305.81,Native 3-Digit ZIP index
120,2023,3,311.67,Native 3-Digit ZIP index
120,2023,4,314.84,Native 3-Digit ZIP index
121,2023,1,279.49,Native 3-Digit ZIP index
121,2023,2,279.58,Native 3-Digit ZIP index
121,2023,3,307.58,Native 3-Digit ZIP index
121,2023,4,302.17,Native 3-Digit ZIP index
122,2023,1,245.36,Native 3-Digit ZIP index
122,2023,2,271.96,Native 3-Digit ZIP index
122,2023,3,278.62,Native 3-Digit ZIP index
122,2023,4,282.03,Native 3-Digit ZIP index
123,2023,1,258.51,Native 3-Digit ZIP index
123,2023,2,287.21,Native 3-Digit ZIP index
123,2023,3,299.03,Native 3-Digit ZIP index
123,2023,4,304.75,Native 3-Digit ZIP index
124,2023,1,416.66,Native 3-Digit ZIP index
124,2023,2,450.93,Native 3-Digit ZIP index
124,2023,3,459.48,Native 3-Digit ZIP index
124,2023,4,469.61,Native 3-Digit ZIP index
125,2023,1,325.49,Native 3-Digit ZIP index
125,2023,2,332.34,Native 3-Digit ZIP index
125,2023,3,343.88,Native 3-Digit ZIP index
125,2023,4,349.78,Native 3-Digit ZIP index
126,2023,1,303.06,Native 3-Digit ZIP index
126,2023,2,319.26,Native 3-Digit ZIP index
126,2023,3,335.06,Native 3-Digit ZIP index
126,2023,4,342.89,Native 3-Digit ZIP index
127,2023,1,287.44,Balance of State
127,2023,2,285.86,Balance of State
127,2023,3,302.56,Balance of State
127,2023,4,306.59,Balance of State
128,2023,1,318.88,Native 3-Digit ZIP index
128,2023,2,326.47,Native 3-Digit ZIP index
128,2023,3,346.09,Native 3-Digit ZIP index
128,2023,4,352.93,Native 3-Digit ZIP index
129,2023,1,287.44,Balance of State
129,2023,2,285.86,Balance of State
129,2023,3,302.56,Balance of State
129,2023,4,306.59,Balance of State
130,2023,1,261.51,Native 3-Digit ZIP index
130,2023,2,271.55,Native 3-Digit ZIP index
130,2023,3,283.07,Native 3-Digit ZIP index
130,2023,4,284.37,Native 3-Digit ZIP index
131,2023,1,271.82,Native 3-Digit ZIP index
131,2023,2,281.96,Native 3-Digit ZIP index
131,2023,3,294.4,Native 3-Digit ZIP index
131,2023,4,294.05,Native 3-Digit ZIP index
132,2023,1,255.3,Native 3-Digit ZIP index
132,2023,2,264.85,Native 3-Digit ZIP index
132,2023,3,264.96,Native 3-Digit ZIP index
132,2023,4,268.4,Native 3-Digit ZIP index
133,2023,1,270.94,MSA/MSAD Index
133,2023,2,292.54,MSA/MSAD Index
133,2023,3,311.74,MSA/MSAD Index
133,2023,4,303.83,MSA/MSAD Index
134,2023,1,270.94,MSA/MSAD Index
134,2023,2,292.54,MSA/MSAD Index
134,2023,3,311.74,MSA/MSAD Index
134,2023,4,303.83,MSA/MSAD Index
135,2023,1,270.94,MSA/MSAD Index
135,2023,2,292.54,MSA/MSAD Index
135,2023,3,311.74,MSA/MSAD Index
135,2023,4,303.83,MSA/MSAD Index
136,2023,1,,MSA/MSAD Index
136,2023,2,287.39,MSA/MSAD Index
136,2023,3,316.09,MSA/MSAD Index
136,2023,4,310.28,MSA/MSAD Index
137,2023,1,234.92,MSA/MSAD Index
137,2023,2,251.7,MSA/MSAD Index
137,2023,3,276.06,MSA/MSAD Index
137,2023,4,274.44,MSA/MSAD Index
138,2023,1,234.92,MSA/MSAD Index
138,2023,2,251.7,MSA/MSAD Index
138,2023,3,276.06,MSA/MSAD Index
138,2023,4,274.44,MSA/MSAD Index
139,2023,1,234.92,MSA/MSAD Index
139,2023,2,251.7,MSA/MSAD Index
139,2023,3,276.06,MSA/MSAD Index
139,2023,4,274.44,MSA/MSAD Index
140,2023,1,278.72,Native 3-Digit ZIP index
140,2023,2,290.58,Native 3-Digit ZIP index
140,2023,3,299.95,Native 3-Digit ZIP index
140,2023,4,293.5,Native 3-Digit ZIP index
141,2023,1,269.22,Native 3-Digit ZIP index
141,2023,2,291.1,Native 3-Digit ZIP index
141,2023,3,305.01,Native 3-Digit ZIP index
141,2023,4,298.29,Native 3-Digit ZIP index
142,2023,1,299.33,Native 3-Digit ZIP index
142,2023,2,315.66,Native 3-Digit ZIP index
142,2023,3,323.67,Native 3-Digit ZIP index
142,2023,4,317.69,Native 3-Digit ZIP index
143,2023,1,287.23,MSA/MSAD Index
143,2023,2,302.21,MSA/MSAD Index
143,2023,3,311.71,MSA/MSAD Index
143,2023,4,303.16,MSA/MSAD Index
144,2023,1,241.91,Native 3-Digit ZIP index
144,2023,2,260.55,Native 3-Digit ZIP index
144,2023,3,267.85,Native 3-Digit ZIP index
144,2023,4,263.15,Native 3-Digit ZIP index
145,2023,1,240.17,Native 3-Digit ZIP index
145,2023,2,256.36,Native 3-Digit ZIP index
145,2023,3,262.94,Native 3-Digit ZIP index
145,2023,4,261.59,Native 3-Digit ZIP index
146,2023,1,245.49,Native 3-Digit ZIP index
146,2023,2,260.34,Native 3-Digit ZIP index
146,2023,3,269.4,Native 3-Digit ZIP index
146,2023,4,261.07,Native 3-Digit ZIP index
147,2023,1,287.44,Balance of State
147,2023,2,285.86,Balance of State
147,2023,3,302.56,Balance of State
147,2023,4,306.59,Balance of State
148,2023,1,272.68,Native 3-Digit ZIP index
148,2023,2,292.29,Native 3-Digit ZIP index
148,2023,3,304.77,Native 3-Digit ZIP index
148,2023,4,305.6,Native 3-Digit ZIP index
149,2023,1,220.69,MSA/MSAD Index
149,2023,2,254.3,MSA/MSAD Index
149,2023,3,237.17,MSA/MSAD Index
149,2023,4,225,MSA/MSAD Index
150,2023,1,263.2,Native 3-Digit ZIP index
150,2023,2,271.27,Native 3-Digit ZIP index
150,2023,3,275.84,Native 3-Digit ZIP index
150,2023,4,274.85,Native 3-Digit ZIP index
151,2023,1,277.23,Native 3-Digit ZIP index
151,2023,2,284.18,Native 3-Digit ZIP index
151,2023,3,294.33,Native 3-Digit ZIP index
151,2023,4,288.39,Native 3-Digit ZIP index
152,2023,1,320.02,Native 3-Digit ZIP index
152,2023,2,341.15,Native 3-Digit ZIP index
152,2023,3,345.4,Native 3-Digit ZIP index
152,2023,4,344.69,Native 3-Digit ZIP index
153,2023,1,262.43,Native 3-Digit ZIP index
153,2023,2,281.91,Native 3-Digit ZIP index
153,2023,3,283.1,Native 3-Digit ZIP index
153,2023,4,288.44,Native 3-Digit ZIP index
154,2023,1,282.97,MSA/MSAD Index
154,2023,2,297.46,MSA/MSAD Index
154,2023,3,301.5,MSA/MSAD Index
154,2023,4,300.77,MSA/MSAD Index
155,2023,1,269.15,Balance of State
155,2023,2,275.74,Balance of State
155,2023,3,278.58,Balance of State
155,2023,4,281.68,Balance of State
156,2023,1,250.87,Native 3-Digit ZIP index
156,2023,2,262.35,Native 3-Digit ZIP index
156,2023,3,263.78,Native 3-Digit ZIP index
156,2023,4,262.74,Native 3-Digit ZIP index
157,2023,1,269.15,Balance of State
157,2023,2,275.74,Balance of State
157,2023,3,278.58,Balance of State
157,2023,4,281.68,Balance of State
158,2023,1,269.15,Balance of State
158,2023,2,275.74,Balance of State
158,2023,3,278.58,Balance of State
158,2023,4,281.68,Balance of State
159,2023,1,228.78,MSA/MSAD Index
159,2023,2,236.63,MSA/MSAD Index
159,2023,3,240.81,MSA/MSAD Index
159,2023,4,235.14,MSA/MSAD Index
160,2023,1,263.62,Native 3-Digit ZIP index
160,2023,2,274.87,Native 3-Digit ZIP index
160,2023,3,275.63,Native 3-Digit ZIP index
160,2023,4,285.37,Native 3-Digit ZIP index
161,2023,1,287.55,Native 3-Digit ZIP index
161,2023,2,292.5,Native 3-Digit ZIP index
161,2023,3,297.59,Native 3-Digit ZIP index
161,2023,4,279.12,Native 3-Digit ZIP index
162,2023,1,282.97,MSA/MSAD Index
162,2023,2,297.46,MSA/MSAD Index
162,2023,3,301.5,MSA/MSAD Index
162,2023,4,300.77,MSA/MSAD Index
163,2023,1,269.15,Balance of State
163,2023,2,275.74,Balance of State
163,2023,3,278.58,Balance of State
163,2023,4,281.68,Balance of State
164,2023,1,240.84,MSA/MSAD Index
164,2023,2,244.11,MSA/MSAD Index
164,2023,3,253.67,MSA/MSAD Index
164,2023,4,244.39,MSA/MSAD Index
165,2023,1,235.24,Native 3-Digit ZIP index
165,2023,2,244.08,Native 3-Digit ZIP index
165,2023,3,251.73,Native 3-Digit ZIP index
165,2023,4,243.2,Native 3-Digit ZIP index
166,2023,1,266.31,MSA/MSAD Index
166,2023,2,260.11,MSA/MSAD Index
166,2023,3,270.6,MSA/MSAD Index
166,2023,4,279.89,MSA/MSAD Index
167,2023,1,269.15,Balance of State
167,2023,2,275.74,Balance of State
167,2023,3,278.58,Balance of State
167,2023,4,281.68,Balance of State
168,2023,1,306.89,Native 3-Digit ZIP index
168,2023,2,319.24,Native 3-Digit ZIP index
168,2023,3,308.3,Native 3-Digit ZIP index
168,2023,4,309.02,Native 3-Digit ZIP index
169,2023,1,269.15,Balance of State
169,2023,2,275.74,Balance of State
169,2023,3,278.58,Balance of State
169,2023,4,281.68,Balance of State
170,2023,1,261.65,Native 3-Digit ZIP index
170,2023,2,272.92,Native 3-Digit ZIP index
170,2023,3,276.61,Native 3-Digit ZIP index
170,2023,4,276.16,Native 3-Digit ZIP index
171,2023,1,256.34,Native 3-Digit ZIP index
171,2023,2,261.93,Native 3-Digit ZIP index
171,2023,3,267.71,Native 3-Digit ZIP index
171,2023,4,267.51,Native 3-Digit ZIP index
172,2023,1,279.05,Native 3-Digit ZIP index
172,2023,2,274.2,Native 3-Digit ZIP index
172,2023,3,286.96,Native 3-Digit ZIP index
